title	name	meaning	menu_1	menu_2	menu_3	menu_4	menu_5	description						
		UBERON:0000955		Brain [UBERON:0000955]				The brain is the center of the nervous system in all vertebrate, and most invertebrate, animals. Some primitive animals such as jellyfish and starfish have a decentralized nervous system without a brain, while sponges lack any nervous system at all. In vertebrates, the brain is located in the head, protected by the skull and close to the primary sensory apparatus of vision, hearing, balance, taste, and smell.						
		UBERON:0001690		Ear [UBERON:0001690]				Sense organ in vertebrates that is specialized for the detection of sound, and the maintenance of balance. Includes the outer ear and middle ear, which collect and transmit sound waves; and the inner ear, which contains the organs of balance and (except in fish) hearing. Also includes the pinna, the visible part of the outer ear, present in some mammals.						
		UBERON:0000970		Eye [UBERON:0000970]				An organ that detects light. 						
		UBERON:0000165		Mouth [UBERON:0000165]				The proximal portion of the digestive tract, containing the oral cavity and bounded by the oral opening. In vertebrates, this extends to the pharynx and includes gums, lips, tongue and parts of the palate. Typically also includes the teeth, except where these occur elsewhere (e.g. pharyngeal jaws) or protrude from the mouth (tusks).						
		UBERON:0000004		Nose [UBERON:0000004]				The olfactory organ of vertebrates, consisting of nares, olfactory epithelia and the structures and skeletal framework of the nasal cavity.						
		UBERON:0035612			Nasal turbinal [UBERON:0035612]			A skeletal element of the ethmoid region with complex morphology that are lined with mucuous membranes involved in either olfaction or air conditioning.						
		UBERON:0001728			Nasopharynx (NP) [UBERON:0001728]			The section of the pharynx that lies above the soft palate.						
		UBERON:0002109			Pair of nares [UBERON:0002109]			Pair of nostrils.						
		UBERON:0001825			Paranasal sinus [UBERON:0001825]			The paired air-filled cavities surrounded by the bones of the face that are lined by mucous membranes and are continuous with the nasal cavity.						
		UBERON:0006333			Snout [UBERON:0006333]			The projecting nose and mouth of an animal, especially a mammal.						
		UBERON:0006558	Lymphatic system [UBERON:0006558]					An organ system subdivision that is a network of vessels capable of removing accumulating protein and fluid from the interstitial space and returning it to the vascular space. In some species, this network is connected to the immune system via lymph nodes and lymphocyte-producing organs, with the whole being the lymphoid system.						
		UBERON:0000029		Lymph node [UBERON:0000029]				Any of the rounded masses of lymphoid tissue that are surrounded by a capsule of connective tissue, are distributed along the lymphatic vessels, and contain numerous lymphocytes which filter the flow of lymph.						
		UBERON:0002509			Mesenteric lymph node [UBERON:0002509]			The lymph nodes located in the mesentery, of which there are 3 classes: ileocolic, juxtaintestinal mesenteric, and central superior group. 						
		GENEPIO:0100927	Mantle (bird) [GENEPIO:0100927]					The forward area of a bird's upper side that is sandwiched between the nape and the start of the back.						
		UBERON:0000974	Neck [UBERON:0000974]					An organism subdivision that extends from the head to the pectoral girdle, encompassing the cervical vertebral column.						
		UBERON:0001043		Esophagus [UBERON:0001043]				Tube that connects the pharynx to the stomach. In mammals, the oesophagus connects the buccal cavity with the stomach. The stratified squamous non-keratinised epithelium lining the buccal cavity is continued through the pharynx down into the oesophagus. The lowest part of the oesophagus (ca. 2 cm) is lined with gastric mucosa and covered by peritoneum. The main body of the oesophagus is lined with small, simple mucous glands. Each gland opens into the lumen by a long duct which pierces the muscularis mucosae (Wilson and Washington, 1989). A sphincter is situated at the point where the oesophagus enters the stomach to prevent gastro-oesophageal reflux, i.e. to prevent acidic gastric contents from reaching stratified epithelia of the oesophagus, where they can cause inflammation and irritation.						
		UBERON:0003126		Trachea [UBERON:0003126]				The trachea is the portion of the airway that attaches to the bronchi as it branches.						
		UBERON:0001021	Nerve [UBERON:0001021]					An enclosed, cable-like bundle of axons in the peripheral nervous system originating in a nerve root in the central nervous system (or a condensed nervous structure) connecting with peripheral structures.						
		UBERON:0002240		Spinal cord [UBERON:0002240]				Part of the central nervous system located in the vertebral canal continuous with and caudal to the brain; demarcated from brain by plane of foramen magnum. It is composed of an inner core of gray matter in which nerve cells predominate, and an outer layer of white matter in which myelinated nerve fibers predominate, and surrounds the central canal. 						
		GENEPIO:0001117	Organs or organ parts [GENEPIO:0001117]					An object aggregate which has as members whole organs or parts of organs, possibly from different organisms.						
		UBERON:0000062		Organ [UBERON:0000062]				Anatomical structure that performs a specific function or group of functions 						
		UBERON:0001630			Muscle organ [UBERON:0001630]			Organ consisting of a tissue made up of various elongated cells that are specialized to contract and thus to produce movement and mechanical work.						
		UBERON:0002097			Skin of body [UBERON:0002097]			The organ covering the body that consists of the dermis and epidermis. 						
		UBERON:0000990	Reproductive system [UBERON:0000990]					Anatomical system that has as its parts the organs concerned with reproduction. 						
		UBERON:0000922		Embryo [UBERON:0000922]				Anatomical entity that comprises the organism in the early stages of growth and differentiation that are characterized by cleavage, the laying down of fundamental tissues, and the formation of primitive organs and organ systems. For example, for mammals, the process would begin with zygote formation and end with birth. For insects, the process would begin at zygote formation and end with larval hatching. For plant zygotic embryos, this would be from zygote formation to the end of seed dormancy. For plant vegetative embryos, this would be from the initial determination of the cell or group of cells to form an embryo until the point when the embryo becomes independent of the parent plant.						
		UBERON:0000323		Fetus [UBERON:0000323]				An embryo that is at the late embryonic stage; this stage covers late steps of the embryogenesis with a fully formed embryo still developing before birth or egg hatching						
		UBERON:0000992		Ovary [UBERON:0000992]				The gonad of a female organism which contains germ cells.						
		UBERON:0000993		Oviduct [UBERON:0000993]				A tube or collection of tubes in an animal from the ovaries to the outside of the body.						
		UBERON:0001987		Placenta [UBERON:0001987]				Organ of metabolic interchange between fetus and mother, partly of embryonic origin and partly of maternal origin[GO]. The fetal portion of the placenta is known as the villous chorion. The maternal portion is known as the decidua basalis. The two portions are held together by anchoring villi that are anchored to the decidua basalis by the cytotrophoblastic shell.						
		UBERON:0000473		Testis [UBERON:0000473]				A gonad of a male animal. A gonad produces and releases sperm.						
		UBERON:0013216		Udder [UBERON:0013216]				A large pendulous organ consisting of two or more mammary glands enclosed in a common envelope and each provided with a single nipple.						
		UBERON:0000995		Uterus [UBERON:0000995]				The female muscular organ of gestation in which the developing embryo or fetus is nourished until birth.						
		UBERON:0000996		Vagina [UBERON:0000996]				A fibromuscular tubular tract leading from the uterus to the exterior of the body in female placental mammals and marsupials, or to the cloaca in female birds, monotremes, and some reptiles						
